canonical_url,source_url,archive_year,archive_month,category,listing_date,raw_title,scraped_at
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13276,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Consumer Education and Protection,2026-01-14,"Reserve Bank of India (Credit Information Companies - Internal Ombudsman) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13275,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Consumer Education and Protection,2026-01-14,"Reserve Bank of India (Non-Bank Prepaid Payment Instruments Issuers - Internal Ombudsman) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13274,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Consumer Education and Protection,2026-01-14,"Reserve Bank of India (Non-Banking Financial Companies - Internal Ombudsman) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13273,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Consumer Education and Protection,2026-01-14,"Reserve Bank of India (Payments Banks - Internal Ombudsman) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13272,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Consumer Education and Protection,2026-01-14,"Reserve Bank of India (Small Finance Banks - Internal Ombudsman) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13271,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Consumer Education and Protection,2026-01-14,"Reserve Bank of India (Commercial Banks - Internal Ombudsman) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13400,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Commercial Banks,2026-04-27,"Reserve Bank of India (Commercial Banks - Asset Classification, Provisioning and Income Recognition) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13399,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Commercial Banks,2026-04-27,"Reserve Bank of India (Commercial Banks - Capital Charge for Credit Risk – Standardised Approach) Directions, 2026 (Effective from April 1, 2027)",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13319,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Commercial Banks,2026-03-10,"Reserve Bank of India (Commercial Banks – Prudential Norms on Declaration of Dividend and Remittances of Profits) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13324,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Local Area Banks,2026-03-10,"Reserve Bank of India (Local Area Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13321,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Payments Banks,2026-03-10,"Reserve Bank of India (Payments Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",2026-05-30T06:26:22.489539+00:00
https://www.rbi.org.in/scripts/bs_viewmasdirections.aspx?id=13327,https://www.rbi.org.in/Scripts/BS_ViewMasterDirections.aspx,2026,,Regional Rural Banks,2026-03-10,"Reserve Bank of India (Regional Rural Banks – Prudential Norms on Declaration of Dividend) Directions, 2026",2026-05-30T06:26:22.489539+00:00
