date,subject,circular_no,link,source_url,scraped_at
2020-10-23,"Foreign Exchange Management (Margin for Derivative Contracts) Regulations, 2020",,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12097&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-22,Review of regulatory framework for Housing Finance Companies (HFCs),,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11988&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-22,Digital Payment Transactions – Streamlining QR Code infrastructure,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11987&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-22,Framework for Recognition of a Self-Regulatory Organisation for Payment System Operators,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11986&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-20,"Inclusion in/exclusion from the Second Schedule to the Reserve Bank of India Act, 1934 - Regional Rural Banks (RRBs)",,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11985&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-12,SLR holdings in HTM category,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11982&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-09,"Sovereign Gold Bond Scheme (SGB) 2020-21- Series VII, VIII, IX, X, XI, XII",Sovereign,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11980&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-09,"Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List – Addition of one entry",,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11979&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-09,Export Data Processing and Monitoring System (EDPMS) Module for ‘Caution/De-caution Listing of Exporters’ - Review,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11978&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-08,Exim Bank's Government of India supported Line of Credit (LoC) of USD 310 million to the Government of the Republic of Zimbabwe,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11977&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2020-10-07,Interest Subvention Scheme for MSMEs – Co-operative banks,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11976&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:42.985756+00:00
2003-07-31,"Notification No.DNBS.170/CGM (OPA)-2003 Dated July 31, 2003",Notification No.DNBS.170/CGM (OPA)-2003 Dated July 31,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1281&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-29,Priority Sector Lending- Special Programmes,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1387&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-29,Wilful Defaulters and action thereagainst,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1279&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-29,Asset Liability Management System – Submission of Reports to the RBI,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1276&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-28,Nomination rules under Section 45QB of RBI Act for NBFC deposits,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1273&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-23,"Resurgent India Bonds - Forward Contracts – Clarification A.P. (DIR Series) Circular No.6 (July 23, 2003)",A.P. (DIR Series) Circular No.6 (July 23,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1272&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-21,"Foreign Technology Collaboration – Royalty Payment – Liberalisation A.P. (DIR Series) Circular No.5 (July 21, 2003)",A.P. (DIR Series) Circular No.5 (July 21,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1270&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-19,"Merchanting Trade Transactions – Clarifications - Short term credit A.P. (DIR Series) Circular No.4 (July 19, 2003)",A.P. (DIR Series) Circular No.4 (July 19,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1269&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-17,Directive on Interest Rate on Deposits under Non-resident (External) Rupee Account (NRE Accounts),,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1278&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-17,Circular on Interest Rate on Deposits under Non-Resident (External) Rupee Accounts (NRE Accounts),,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1277&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-17,Slippage of Non-performing assets – Preventive measures,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1275&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-17,Directive on Interest Rate on Deposits under Non-resident (External) Rupee Account (NRE Accounts),,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1267&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-17,Circular on Interest Rate on Deposits under Non-Resident (External) Rupee Accounts (NRE Accounts),,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1266&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-17,"Current Account Transactions - Liberalisation A.P.(DIR Series) Circular No.3 (July 17, 2003)",A.P.(DIR Series) Circular No.3 (July 17,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1265&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-17,"Prudential norms for classification, valuation and operation of investment portfolio by banks",,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1264&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-17,Interest Rate on Deposits under Non-Resident (External) Rupee Accounts (NRE Accounts),,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1263&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-14,"Exim Bank’s Line of credit to overseas banking institutions/ financial institutions A.P.(DIR series) Circular No.2 (July 14, 2003)",A.P.(DIR series) Circular No.2 (July 14,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1262&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-08,"Foreign Exchange Management (Remittance of Assets) (Second Amendment) Regulations, 2003",,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=2602&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-08,Swarnjayanti Gram Swarozgar Yojana (SGSY) - Quick Study on Gap Between Sanction and Disbursement of Loans Under SGSY,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1261&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-08,Settlement in respect of Government Securities Transactions-Compulsory settlement through Clearing Corporation of India Ltd.,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1258&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-08,Scheme for Non-Competitive Bidding Facility in the Auctions of Government of India dated securities,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1257&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-08,"Auction for Sale (Re-issue ) of ‘7.95 per cent Government Stock, 2032’",,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1253&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-08,"Auction for Sale (Re-issue ) of ‘6.35 per cent Government Stock, 2020’",,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1250&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-08,Scheme for Non-competitive Bidding Facility in the Auctions of Government Securities,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1249&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-08,Auction of Government of India Dated Securities,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1248&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-07,Exchange of Information – Loan & Subsidy under Urban Self Employment Programme (USEP) component of Swarna Jayanti Shahari Rozgar Yojana (SJSRY),,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1259&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-02,"Foreign Exchange Management (Remittance of Assets) (Amendment) Regulations, 2003",,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1417&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-02,"Foreign Exchange Management (Establishment in India of branch or office or other place of business) (Amendment) Regulations, 2003",,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1416&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-02,Investment Portfolio of Banks-Transactions in securities,,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1247&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
2003-07-02,"Exim Bank's Line of Credit of US $ 5 Million to Hatton National Bank Ltd. (HNB), Sri Lanka A.P.(DIR Series) Circular No.1 (July 2, 2003)",A.P.(DIR Series) Circular No.1 (July 2,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1245&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx,2026-05-30T08:48:43.857735+00:00
