circular_number,date,department,subject,meant_for,detail_url,canonical_url,source_url,archive_year,archive_month,scraped_at
RBI/DOR/2026-2027/95 DOR.GOV.REC.No.83/18.10.015/2026-27,2026-05-25,Department of Regulation,"Reserve Bank of India (Rural Co-operative Banks - Governance) Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13462,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13462,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/DOR/2026-2027/94 DOR.GOV.REC.No.82/18.10.014/2026-27,2026-05-25,Department of Regulation,"Reserve Bank of India (Urban Co-operative Banks - Governance) Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13461,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13461,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/93 DOR.AML.REC.81/14.06.001/2026-27,2026-05-22,Department of Regulation,"Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Removal of 7 Entries","The Chairpersons/ CEOs of the Commercial Banks, Small Finance Banks, Payment Banks, Urban Co-operative Banks, Rural Co-operative Banks, Regional Rural Banks, Local Area Banks, Non-Banking Financial Companies, Asset Reconstruction Companies, All India Financial Institutions",https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13460,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13460,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/92 DOR.MRG.REC.No.80/21-04-018/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Local Area Banks – Financial Statements: Presentation and Disclosures) Third Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13459,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13459,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/91 DOR.MRG.REC.No.79/21-04-018/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Commercial Banks – Financial Statements: Presentation and Disclosures) Sixth Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13458,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13458,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/90 DOR.MRG.REC.No.78/21-01-002/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Commercial Banks – Prudential Norms on Capital Adequacy) Sixth Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13457,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13457,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/89 DOR.MRG.REC.No.77/00-00-001/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Regional Rural Banks - Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13456,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13456,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/88 DOR.MRG.REC.No.76/00-00-011/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Rural Co-operative Banks – Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13455,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13455,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/87 DOR.MRG.REC.No.75/00-00-011/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Urban Co-operative Banks – Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13454,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13454,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/86 DOR.MRG.REC.No.74/00-00-001/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Local Area Banks - Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13453,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13453,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/85 DOR.MRG.REC.No.73/00-00-001/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Payments Banks - Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13452,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13452,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/84 DOR.MRG.REC.No.72/00-00-001/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Small Finance Banks - Classification, Valuation, and Operation of Investment Portfolio) Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13451,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13451,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/83 DOR.MRG.REC.No.71/00-00-001/2026-27,2026-05-18,Department of Regulation,"Reserve Bank of India (Commercial Banks - Classification, Valuation, and Operation of Investment Portfolio) Second Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13450,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13450,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/82 A.P. (DIR Series) Circular No.10,2026-05-13,Foreign Exchange Department,Operating framework for facilitating Outward Remittance services by non-bank entities through Authorized Dealer (Category I) banks in India,All Authorised Dealers,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13449,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13449,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
RBI/2026-2027/81 DOR.CAP.REC.No.70/21.01.002/2026-27,2026-05-08,Department of Regulation,"Reserve Bank of India (Payments Banks - Prudential Norms on Capital Adequacy) Second Amendment Directions, 2026",,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13448,https://www.rbi.org.in/scripts/BS_CircularIndexDisplay.aspx?Id=13448,https://www.rbi.org.in/scripts/bs_circularindexdisplay.aspx,2026,5,2026-05-30T10:43:15.075618+00:00
