serial_number,circular_number,title_or_subject,date,department,withdrawal_category,detail_url,canonical_url,source_url,scraped_at
,,"Introduction of a new type of semi-closed Prepaid Payment Instrument (PPI) – PPIs upto ₹10,000/- with loading only from bank account",2019-12-24,Department of Payment and Settlement Systems,RRA 2.0,,,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Amendment to Master Direction on Issuance and Operation of Prepaid Payment Instruments (PPIs),2019-08-30,Department of Payment and Settlement Systems,RRA 2.0,,,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Real Time Gross Settlement (RTGS) System – Increase in operating hours,2019-08-21,Department of Payment and Settlement Systems,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11667&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11667&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Real Time Gross Settlement (RTGS) System – Extension of Timings for Customer Transactions,2019-05-28,Department of Payment and Settlement Systems,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11564&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11564&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Customer Protection – Limiting Liability of Customers in Unauthorised Electronic Payment Transactions in Prepaid Payment Instruments (PPIs) issued by Authorised Non-banks,2019-01-04,Department of Payment and Settlement Systems,RRA 2.0,,,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Prepaid Payment Instruments (PPIs) – Guidelines for Interoperability,2018-10-16,Department of Payment and Settlement Systems,RRA 2.0,,,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Directions for Central Counterparties (CCPs),2018-10-15,Department of Payment and Settlement Systems,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11390&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11390&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Levy of Penal Interest – Delayed Reporting,2018-02-09,Department of Currency Management,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11217&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11217&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Natural Calamities Portal - Monthly Reporting System,2017-08-03,Financial Inclusion and Development Department,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11080&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11080&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Special measures to incentivise Electronic Payments – Extension of time,2016-12-30,Department of Payment and Settlement Systems,RRA 2.0,,,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Master Circular on Issuance and Operations of Prepaid Payment Instruments – Amendments to paragraph 7.9,2016-12-27,Department of Payment and Settlement Systems,RRA 2.0,,,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Special measures to incentivise Electronic Payments – (i) Enhancement in issuance limits for Pre-Paid Payment Instruments (PPIs) in India (ii) Special measures for merchants,2016-11-22,Department of Payment and Settlement Systems,RRA 2.0,,,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Financial Literacy Centres - Revised Reporting Format,2016-08-25,Financial Inclusion and Development Department,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=10560&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=10560&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Guidelines for relief measures by banks in areas affected by natural calamities - utilisation of insurance proceeds,2016-06-30,Financial Inclusion and Development Department,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=10468&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=10468&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Reporting requirement under Foreign Account Tax Compliance Act (FATCA) and Common Reporting Standards (CRS),2015-10-15,Department of Payment and Settlement Systems,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=10073&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=10073&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Changes in RTGS time window,2015-09-01,Department of Payment and Settlement Systems,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=10012&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=10012&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Guidelines for Relief Measures by Banks in Areas Affected by Natural Calamities,2015-08-21,Financial Inclusion and Development Department,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=9992&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=9992&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
,,Foreign Investment in India by Foreign Portfolio Investors,2015-07-16,Financial Markets Regulation Department,RRA 2.0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=9947&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=9947&Mode=0,https://www.rbi.org.in/Scripts/NotificationUserWithdrawnCircular.aspx,2026-05-30T10:50:49.794883+00:00
